Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,cabin_multiple,cabin_adv,numeric_ticket,name_title,norm_fare
0,3,female,37.0,0,0,S,0,n,1,Miss,2.3596740599781727
0,2,male,21.0,1,0,S,0,n,1,Mr,2.5257286443082556
0,1,male,36.0,1,0,S,1,C,1,Mr,4.380149874661021
1,3,male,32.0,0,0,S,0,n,0,Mr,2.188856327665703
0,3,female,,1,2,S,0,n,0,Miss,3.196630215920881
0,3,male,26.0,0,0,S,0,n,1,Mr,2.1719067693519296
1,1,male,80.0,0,0,S,1,A,1,Mr,3.4339872044851463
0,3,male,55.5,0,0,S,0,n,0,Mr,2.2027647577118348
0,2,male,60.0,1,1,S,0,n,1,Mr,3.6888794541139363
0,3,male,,0,0,Q,0,n,1,Mr,2.167143305297764
0,3,male,18.0,0,0,S,0,n,1,Mr,2.1719067693519296
0,3,female,14.5,1,0,C,0,n,1,Miss,2.737880811060884
1,2,male,19.0,0,0,S,0,n,0,Mr,2.4423470353692043
1,2,female,4.0,2,1,S,1,F,1,Miss,3.6888794541139363
0,3,male,33.0,0,0,S,0,n,1,Mr,2.267393053825037
0,3,male,21.0,0,0,Q,0,n,0,Mr,2.167143305297764
0,3,female,10.0,0,2,S,0,n,1,Miss,3.224857896545748
0,2,male,47.0,0,0,S,0,n,1,Mr,2.772588722239781
0,3,female,2.0,4,2,S,0,n,1,Miss,3.4742929367327062
1,2,female,29.0,1,0,S,0,n,1,Mrs,3.295836866004329
1,1,female,22.0,1,0,S,1,C,1,Mrs,4.213607983048918
0,3,male,28.0,1,0,S,0,n,0,Mr,2.8243506567983707
1,1,male,,0,0,C,1,C,1,Mr,3.4242626545931514
1,3,male,26.0,0,0,C,0,n,1,Mr,2.9850504252071306
0,3,male,33.0,0,0,S,0,n,1,Mr,2.3513752571634776
1,2,female,27.0,0,0,S,1,E,1,Miss,2.4423470353692043
1,3,female,27.0,0,2,S,0,n,1,Mrs,2.495953738718064
0,2,male,34.0,0,0,S,0,n,1,Mr,2.6390573296152584
1,3,male,,0,0,C,0,n,1,Mr,2.1076888046179385
0,1,male,30.0,0,0,C,1,C,1,Mr,3.3586377672433594
0,3,male,30.0,1,0,S,0,n,0,Mr,2.8390784635086144
1,2,female,,0,0,Q,1,E,1,Miss,2.5915163848462583
0,3,male,,0,0,S,0,n,1,Mr,2.1719067693519296
1,1,female,53.0,2,0,S,1,C,1,Mrs,3.960416900617205
0,3,male,32.0,0,0,S,0,n,0,Mr,2.188856327665703
0,2,male,52.0,0,0,S,0,n,1,Mr,2.6390573296152584
0,1,male,52.0,1,1,S,1,E,1,Mr,4.390118804571218
0,3,female,39.0,1,5,S,0,n,1,Mrs,3.4742929367327062
0,1,female,2.0,1,2,S,2,C,1,Miss,5.027492411162679
1,3,male,44.0,0,0,S,0,n,0,Mr,2.188856327665703
0,2,male,51.0,0,0,S,0,n,0,Rev,2.6045398247325453
0,2,male,39.0,0,0,S,0,n,1,Mr,3.295836866004329
0,1,male,46.0,0,0,C,2,B,0,Mr,4.384523514872469
1,1,male,17.0,0,2,C,1,C,1,Mr,4.717456363787216
0,3,male,30.0,0,0,S,0,n,0,Mr,2.2027647577118348
0,3,female,9.0,2,2,S,0,n,0,Miss,3.5660053559634015
1,3,male,27.0,0,0,S,0,n,1,Mr,2.174274334826008
0,3,male,21.0,0,0,S,0,n,1,Mr,2.2682524139135403
0,3,male,,0,0,S,0,n,1,Mr,4.05171190165724
0,3,male,26.0,0,0,S,0,n,1,Mr,2.1855792552411137
1,3,male,3.0,1,1,S,0,n,0,Master,2.8273136219290276
0,2,male,48.0,0,0,S,0,n,1,Mr,2.6390573296152584
1,1,female,36.0,0,0,C,1,C,0,Miss,4.91730069488021
1,3,female,,1,0,Q,0,n,1,Mrs,2.803360380906535
1,2,female,32.5,0,0,S,1,E,1,Miss,2.6390573296152584
1,1,female,33.0,0,0,S,1,B,1,the Countess,4.471638793363569
1,2,female,22.0,1,2,C,0,n,0,Mrs,3.7513658711253766
0,3,male,19.0,0,0,Q,0,n,1,Mr,2.0476928433652555
0,3,male,74.0,0,0,S,0,n,1,Mr,2.1719067693519296
0,3,male,42.0,0,1,S,0,n,1,Mr,2.2411563979973974
1,1,female,40.0,0,0,S,1,C,0,Miss,5.039951348430309
1,3,female,35.0,1,1,S,0,n,0,Mrs,3.056356895370426
0,3,female,24.0,0,0,S,0,n,1,Miss,2.2874714551839976
1,3,male,39.0,0,0,S,0,n,0,Mr,2.188856327665703
0,2,male,32.5,1,0,C,0,n,1,Mr,3.436268471383741
1,2,male,1.0,2,1,S,1,F,1,Master,3.6888794541139363
0,3,male,34.0,0,0,S,0,n,1,Mr,2.0143428636837015
0,1,male,64.0,1,4,S,3,C,1,Mr,5.575949103146316
0,3,female,25.0,0,0,S,0,n,1,Miss,2.1719067693519296
0,3,female,,0,0,S,0,n,1,Mrs,2.2027647577118348
1,3,male,1.0,1,2,S,0,n,0,Master,3.0715352369694915
0,3,male,45.0,0,0,S,0,n,1,Mr,2.076311648670908
0,2,male,31.0,1,1,S,0,n,0,Mr,3.305053521109253
0,3,female,21.0,1,0,S,0,n,1,Miss,2.3818582738885534
0,3,male,25.0,0,0,S,0,n,1,Mr,2.1855792552411137
1,1,female,15.0,0,1,S,1,B,1,Miss,5.35817698994543
0,3,male,26.0,0,0,S,0,n,1,Mr,2.184645795129359
0,2,male,30.0,0,0,S,0,n,0,Mr,2.4423470353692043
1,1,female,24.0,0,0,C,1,B,0,Mlle,4.252771798816619
0,2,male,35.0,0,0,S,0,n,1,Mr,2.4423470353692043
0,2,male,70.0,0,0,S,0,n,0,Mr,2.4423470353692043
0,1,male,,0,0,S,1,B,1,Mr,0.0
0,3,male,21.0,0,0,S,0,n,1,Mr,2.8390784635086144
1,3,female,18.0,0,1,S,0,n,1,Mrs,2.336986519711378
0,3,female,,0,0,Q,0,n,1,Miss,2.212386825075897
0,3,male,1.0,5,2,S,0,n,0,Master,3.8691155044168695
0,3,female,,8,2,S,0,n,0,Miss,4.256321678298823
1,3,male,26.0,0,0,S,0,n,1,Mr,4.05171190165724
1,3,male,25.0,1,0,S,0,n,1,Mr,2.1719067693519296
0,2,male,,0,0,S,0,n,1,Mr,0.0
0,3,male,20.0,0,0,S,0,n,1,Mr,2.3513752571634776
1,1,female,54.0,1,0,C,1,D,1,Miss,4.37281811610993
0,3,male,22.0,0,0,S,0,n,1,Mr,2.2027647577118348
0,2,male,59.0,0,0,S,0,n,1,Mr,2.6741486494265287
1,2,female,54.0,1,3,S,0,n,1,Mrs,3.1780538303479458
1,1,male,27.0,0,0,S,0,n,1,Mr,3.449987545831587
0,1,male,31.0,1,0,S,1,B,0,Mr,3.970291913552122
0,1,male,22.0,0,0,C,0,n,0,Mr,4.91730069488021
0,1,male,33.0,0,0,S,3,B,1,Mr,1.791759469228055
1,3,male,6.0,0,1,S,1,E,1,Master,2.600836116795061
1,3,female,5.0,4,2,S,0,n,1,Miss,3.4777725458882283
0,1,male,39.0,0,0,S,1,A,1,Mr,0.0
0,3,male,24.5,0,0,S,0,n,1,Mr,2.2027647577118348
0,2,male,54.0,0,0,S,0,n,1,Dr,2.70805020110221
0,3,male,,0,0,S,0,n,0,Mr,2.145931282948669
0,3,male,,0,0,S,0,n,1,Mr,2.1855792552411137
0,3,male,30.0,0,0,C,0,n,1,Mr,2.1076888046179385
1,3,female,,0,0,Q,0,n,1,Miss,2.1837114628556327
1,1,female,35.0,0,0,C,0,n,0,Miss,6.240917354759096
1,1,female,21.0,0,0,S,1,D,1,Miss,4.368919865004903
1,1,male,32.0,0,0,C,1,B,1,Dr,3.449987545831587
0,3,male,16.0,0,0,S,0,n,1,Mr,2.3513752571634776
1,3,female,22.0,0,0,S,0,n,0,Miss,2.1102132003465894
0,3,male,,0,0,S,0,n,1,Mr,2.1855792552411137
1,1,male,38.0,1,0,S,1,C,1,Mr,4.51085950651685
0,3,male,,8,2,S,0,n,0,Mr,4.256321678298823
0,2,male,25.0,1,0,S,0,n,1,Mr,3.295836866004329
1,2,female,33.0,1,2,S,0,n,0,Mrs,3.3586377672433594
1,3,female,,1,0,S,0,n,1,Mrs,2.8390784635086144
0,1,male,18.0,1,0,C,1,C,0,Mr,4.699570861409576
0,3,male,,1,0,S,0,n,1,Mr,2.8390784635086144
0,3,male,,0,0,S,0,n,1,Mr,2.1855792552411137
0,3,male,2.0,4,1,S,0,n,1,Master,3.705920919968788
1,3,male,0.42,0,1,C,0,n,1,Master,2.2530481500547457
0,2,male,26.0,0,0,S,0,n,1,Mr,2.4423470353692043
0,3,male,41.0,0,0,S,0,n,0,Mr,2.094945728215801
1,1,male,48.0,1,0,C,1,D,0,Mr,4.353230991152628
1,2,female,48.0,1,2,S,0,n,1,Mrs,4.189654742026425
1,1,female,48.0,1,0,C,1,A,1,Lady,3.703768066607687
0,3,male,4.0,4,2,S,0,n,1,Master,3.4742929367327062
1,1,female,39.0,1,0,S,1,E,1,Mrs,4.041295341132285
1,3,female,33.0,3,0,S,0,n,1,Mrs,2.8243506567983707
0,2,male,29.0,0,0,S,0,n,0,Mr,2.4423470353692043
0,1,male,49.0,1,1,C,1,C,1,Mr,4.717456363787216
0,3,male,,8,2,S,0,n,0,Master,4.256321678298823
0,3,male,,0,0,C,0,n,1,Mr,2.1076888046179385
0,1,male,42.0,1,0,S,0,n,1,Mr,3.970291913552122
1,1,female,36.0,0,2,S,1,B,0,Miss,4.276666119016055
0,1,male,61.0,0,0,S,1,B,1,Mr,3.5409593240373143
0,3,female,18.0,0,0,Q,0,n,1,Miss,2.0476928433652555
1,3,female,18.0,0,0,S,0,n,1,Miss,2.139571923732859
1,2,male,0.67,1,1,S,0,n,1,Master,2.740840023925201
1,3,male,32.0,0,0,S,0,n,1,Mr,4.05171190165724
0,3,male,,0,0,S,0,n,1,Mr,2.2027647577118348
0,3,male,,0,0,S,0,n,0,Mr,2.2027647577118348
0,3,female,,1,0,C,0,n,1,Miss,2.737880811060884
0,3,male,16.0,0,0,S,0,n,0,Mr,2.2027647577118348
1,1,male,31.0,1,0,S,1,B,1,Mr,4.060443010546419
1,1,male,48.0,0,0,S,1,E,1,Mr,3.3160025355989236
1,3,male,22.0,0,0,C,0,n,1,Mr,2.1071782966514356
1,3,female,13.0,0,0,C,0,n,1,Miss,2.1076888046179385
0,3,male,32.0,1,0,S,0,n,1,Mr,2.8243506567983707
0,3,male,28.0,2,0,S,0,n,1,Mr,2.188856327665703
0,2,male,46.0,0,0,S,0,n,1,Mr,3.295836866004329
0,3,male,28.0,0,0,S,0,n,1,Mr,2.174274334826008
0,2,male,42.0,1,0,S,0,n,1,Mr,3.332204510175204
0,3,male,35.0,0,0,S,0,n,1,Mr,2.2027647577118348
0,3,female,2.0,3,2,S,0,n,1,Miss,3.3638415951183864
1,3,female,31.0,0,0,S,0,n,1,Mrs,2.270402752283094
1,3,female,,1,0,Q,0,n,1,Miss,2.803360380906535
0,3,male,,0,0,S,0,n,1,Mr,2.1855792552411137
1,2,female,19.0,1,0,S,0,n,1,Mrs,3.295836866004329
0,3,male,20.0,0,0,S,0,n,1,Mr,2.2682524139135403
0,3,male,14.0,5,2,S,0,n,0,Mr,3.8691155044168695
1,2,female,34.0,0,1,S,0,n,1,Mrs,3.1780538303479458
1,3,female,,0,0,Q,0,n,1,Miss,2.1676241075599285
1,3,female,,0,0,Q,0,n,1,Miss,2.169053700369523
0,3,male,51.0,0,0,S,0,n,1,Mr,2.169053700369523
0,3,female,,0,0,Q,0,n,1,Miss,2.155151800914312
1,3,female,,0,0,Q,0,n,1,Miss,2.169053700369523
1,3,female,,0,0,Q,0,n,1,Miss,2.169053700369523
0,3,male,28.0,0,0,S,0,n,1,Mr,2.3513752571634776
0,2,male,25.0,0,0,S,0,n,0,Mr,2.6390573296152584
0,1,male,19.0,3,2,S,3,C,1,Mr,5.575949103146316
0,3,male,35.0,0,0,C,0,n,1,Mr,2.1855792552411137
1,1,female,35.0,1,0,S,1,C,1,Mrs,4.436455632600354
1,3,male,9.0,1,1,S,0,n,0,Master,2.8273136219290276
0,3,male,20.0,0,0,C,0,n,1,Mr,1.6119347926326877
1,2,male,42.0,0,0,S,0,n,1,Mr,2.6390573296152584
0,2,male,30.0,0,0,S,0,n,1,Mr,2.6390573296152584
0,2,male,,0,0,S,0,n,1,Mr,0.0
1,3,male,21.0,0,0,S,0,n,1,Mr,2.174274334826008
0,3,male,47.0,0,0,S,0,n,0,Mr,2.1102132003465894
0,1,female,25.0,1,2,S,2,C,1,Mrs,5.027492411162679
0,3,male,16.0,0,0,S,0,n,1,Mr,2.3240236363515288
0,1,male,45.0,1,0,S,1,C,1,Mr,4.436455632600354
0,3,male,38.0,0,0,S,0,n,1,Mr,2.2682524139135403
1,1,male,56.0,0,0,C,1,A,1,Col,3.597312260588446
1,3,female,,1,1,C,2,F,1,Miss,3.1509523813392697
0,1,male,31.0,0,0,S,1,A,0,Mr,3.941500250945973
1,1,female,30.0,0,0,S,1,B,1,Miss,4.548599834499697
0,1,male,,0,0,C,0,n,0,Mr,3.357621598945279
0,3,female,14.0,0,0,S,0,n,1,Miss,2.180891922715322
1,3,female,16.0,0,0,Q,0,n,1,Miss,2.167143305297764
0,3,female,40.0,1,0,S,0,n,1,Mrs,2.348991465808201
0,1,male,55.0,0,0,S,1,C,1,Mr,3.449987545831587
0,3,male,19.0,0,0,S,0,n,1,Mr,2.1719067693519296
1,1,male,45.0,0,0,S,0,n,1,Mr,3.3160025355989236
1,1,female,36.0,1,2,S,2,B,1,Mrs,4.795790545596741
1,3,female,27.0,0,0,S,0,n,0,Miss,2.188856327665703
1,1,female,49.0,1,0,C,1,D,0,Mrs,4.353230991152628
1,1,female,41.0,0,0,C,1,E,1,Miss,4.908971640319756
0,1,male,19.0,1,0,S,1,D,1,Mr,3.9908341858524357
0,3,male,33.0,0,0,S,0,n,1,Mr,2.1719067693519296
1,1,male,27.0,1,0,S,1,E,1,Mr,3.9908341858524357
0,1,male,,0,0,C,0,n,0,Mr,3.357621598945279
1,1,male,35.0,0,0,S,1,E,0,Mr,3.3064287218760624
0,3,female,29.0,1,1,S,1,G,1,Mrs,2.4390808375825834
1,2,female,30.0,3,0,S,0,n,1,Mrs,3.091042453358316
0,3,male,34.0,0,0,S,0,n,1,Mr,2.2027647577118348
1,3,male,29.0,0,0,C,0,n,1,Mr,2.1855792552411137
1,1,female,19.0,0,0,S,1,B,1,Miss,3.4339872044851463
1,1,female,35.0,0,0,S,1,C,0,Miss,4.91730069488021
0,3,male,,8,2,S,0,n,0,Mr,4.256321678298823
1,2,female,40.0,0,0,S,0,n,0,Mrs,2.8183982582710754
0,1,male,62.0,0,0,S,0,n,1,Mr,3.3160025355989236
0,3,female,25.0,1,0,S,0,n,0,Miss,2.188856327665703
0,3,male,26.0,0,0,S,0,n,1,Mr,2.2027647577118348
0,3,female,18.0,0,1,C,0,n,1,Miss,2.737880811060884
0,2,male,34.0,1,0,S,0,n,1,Mr,3.091042453358316
0,3,male,48.0,0,0,S,0,n,1,Mr,2.180891922715322
0,3,male,28.0,0,0,S,0,n,1,Mr,2.1855792552411137
0,3,male,24.0,2,0,S,0,n,0,Mr,3.224857896545748
1,2,female,17.0,0,0,C,0,n,0,Miss,2.5649493574615367
1,1,female,38.0,1,0,C,1,C,0,Mrs,4.2805931204649
0,3,male,,0,0,C,0,n,1,Mr,2.1076888046179385
0,3,male,40.0,0,0,S,0,n,1,Mr,2.1855792552411137
0,3,male,22.0,0,0,S,0,n,1,Mr,2.302585092994046
0,3,female,2.0,0,1,S,1,G,1,Miss,2.4390808375825834
0,1,male,28.0,1,0,C,0,n,0,Mr,4.420896324687287
0,3,male,18.0,0,0,S,0,n,1,Mr,2.169053700369523
0,3,male,28.0,0,0,S,0,n,0,Mr,3.1580636854714434
1,2,female,19.0,0,0,S,0,n,1,Miss,3.295836866004329
0,3,male,,0,0,S,0,n,0,Mr,2.2027647577118348
1,1,female,60.0,1,0,C,1,D,1,Mrs,4.334017415487521
0,3,male,20.0,0,0,S,0,n,1,Mr,2.180891922715322
0,1,male,45.0,0,0,S,1,T,1,Mr,3.597312260588446
0,3,female,,0,0,S,0,n,0,Miss,2.2027647577118348
1,2,female,24.0,0,0,S,1,F,1,Miss,2.6390573296152584
0,3,male,,0,0,Q,1,F,1,Mr,2.169053700369523
1,3,female,,1,0,Q,0,n,1,Miss,2.803360380906535
0,3,male,39.0,1,5,S,0,n,1,Mr,3.4742929367327062
1,3,female,26.0,0,0,S,0,n,1,Miss,2.180891922715322
1,2,female,24.0,2,1,S,0,n,1,Mrs,3.332204510175204
1,2,female,36.0,0,0,S,0,n,1,Miss,2.6390573296152584
0,1,male,37.0,0,1,C,1,C,0,Mr,3.4242626545931514
1,1,female,,0,1,S,1,E,1,Mrs,4.02535169073515
0,2,male,28.0,0,0,S,0,n,0,Mr,2.4423470353692043
0,3,male,19.0,0,0,S,0,n,1,Mr,2.1855792552411137
0,3,male,43.0,0,0,S,0,n,0,Mr,2.0082140323914683
1,1,male,25.0,1,0,C,1,B,1,Mr,4.5226490762785785
0,3,male,47.0,0,0,S,0,n,1,Mr,2.302585092994046
1,1,female,16.0,0,0,S,1,B,1,Miss,4.471638793363569
1,2,male,0.83,1,1,S,0,n,1,Master,2.9831534913471307
0,3,male,22.0,0,0,S,0,n,0,Mr,2.094945728215801
0,3,male,19.0,0,0,S,0,n,1,Mr,2.1855792552411137
0,2,male,28.0,0,0,S,0,n,1,Mr,2.6741486494265287
0,3,male,14.0,4,1,S,0,n,1,Mr,3.705920919968788
0,3,male,36.0,0,0,S,0,n,1,Mr,2.1855792552411137
0,1,male,29.0,0,0,S,1,D,1,Mr,3.4339872044851463
0,3,male,42.0,0,0,S,2,F,1,Mr,2.157559320943788
0,1,male,,0,0,S,1,A,1,Mr,3.970291913552122
1,1,male,27.0,0,0,C,1,D,0,Mr,4.353230991152628
1,3,male,29.0,0,0,Q,0,n,1,Mr,2.169053700369523
1,2,female,5.0,1,2,S,0,n,0,Miss,3.3586377672433594
0,3,female,22.0,0,0,S,0,n,1,Miss,2.3830123421066602
0,3,male,,0,0,Q,0,n,1,Mr,2.169053700369523
1,2,female,30.0,0,0,S,0,n,1,Miss,2.6390573296152584
0,1,male,62.0,0,0,S,1,C,1,Mr,3.3160025355989236
1,2,male,34.0,0,0,S,1,D,1,Mr,2.6390573296152584
0,3,male,28.0,0,0,S,0,n,1,Mr,2.1855792552411137
0,3,male,,0,0,Q,0,n,1,Mr,2.169053700369523
0,3,male,44.0,0,1,S,0,n,1,Mr,2.8390784635086144
0,3,female,45.0,0,0,S,0,n,1,Miss,2.169053700369523
0,2,male,19.0,0,0,S,0,n,1,Mr,2.6390573296152584
0,2,male,18.0,0,0,S,0,n,0,Mr,4.310799125385514
0,3,male,31.0,0,0,S,0,n,1,Mr,2.1719067693519296
0,2,male,,0,0,S,0,n,1,Mr,0.0
0,3,male,21.0,0,0,S,0,n,0,Mr,2.1102132003465894
0,2,male,25.0,0,0,S,0,n,1,Mr,2.6390573296152584
0,3,male,32.0,0,0,S,0,n,1,Mr,2.236712348843338
0,2,male,30.0,1,0,C,0,n,0,Mr,3.2188758248682006
0,3,male,40.0,0,0,C,0,n,1,Mr,2.1071782966514356
0,3,male,33.0,0,0,C,0,n,1,Mr,2.1855792552411137
0,3,male,36.0,0,0,S,0,n,1,Mr,2.139571923732859
1,1,female,47.0,1,1,S,1,D,1,Mrs,3.9806942251907276
0,2,male,34.0,1,0,S,0,n,1,Mr,3.295836866004329
0,3,male,19.0,0,0,S,0,n,1,Mr,2.2027647577118348
0,3,male,,0,0,S,0,n,0,Mr,2.2027647577118348
1,2,female,50.0,0,0,S,0,n,0,Miss,2.4423470353692043
1,3,female,,2,0,Q,0,n,1,Miss,3.188416617383492
0,3,male,,1,0,Q,0,n,1,Mr,2.169053700369523
0,2,male,,0,0,S,0,n,1,Mr,0.0
0,3,male,,0,0,S,0,n,0,Mr,2.2027647577118348
0,3,male,35.0,0,0,S,0,n,1,Mr,2.2027647577118348
0,2,male,35.0,0,0,S,0,n,1,Mr,3.295836866004329
1,1,female,18.0,1,0,C,2,C,0,Mrs,5.4316456135398825
0,3,female,16.0,5,2,S,0,n,0,Miss,3.8691155044168695
1,3,female,21.0,0,0,S,0,n,1,Miss,2.157559320943788
0,1,male,,0,0,S,0,n,1,Mr,3.4657359027997265
0,3,male,41.0,2,0,S,0,n,1,Mr,2.7152442616824506
1,1,female,14.0,1,2,S,2,B,1,Miss,4.795790545596741
0,1,male,21.0,0,1,S,1,D,1,Mr,4.360387947851531
